fighter_name,Height,Weight,Reach,Stance,DOB,Affiliation,Born,Fighting out of
James Wilks,"6' 1""",170 lbs.,"75""",Orthodox,"May 04, 1978",Lightning MMA,"Leicestershire, England","Laguna Hills, California"
Patrick Williams,"5' 8""",135 lbs.,"73""",Orthodox,"Sep 07, 1981",,"Homestead, Florida","Homestead, Florida"
Tim Williams,"6' 2""",185 lbs.,"76""",Orthodox,"Jul 03, 1986",302 BJJ,United States,"Millville, New Jersey, United States"
Jordan Williams,"6' 1""",185 lbs.,"75""",Southpaw,"Oct 13, 1990",Nor-Cal Fighting Alliance,"Menomonee Falls, Wisconsin","Santa Rosa, California"
Cole Williams,"6' 0""",170 lbs.,"73""",Orthodox,"Dec 15, 1983",Chosen Few Gym,"Dubuque, Iowa","Dubuque, Iowa"
Khaos Williams,"6' 0""",170 lbs.,"77""",Orthodox,"Mar 30, 1994",Murcielago MMA,"Jackson, Michigan, United States","Detroit, Michigan, United States"
Justin Willis,"6' 1""",264 lbs.,"78""",Southpaw,"Jul 19, 1987",American Kickboxing Academy,"East Palo Alto, California","San Jose, California"
Chris Wilson,"6' 1""",170 lbs.,"75""",Orthodox,"Jun 07, 1977",Team Quest Portland,United States,"Portland, Oregon"
Jonathan Wilson,"6' 2""",205 lbs.,"75""",Southpaw,"Jul 17, 1987",Millennia MMA,United States,California
Matt Wiman,"5' 10""",155 lbs.,"68""",Orthodox,"Sep 19, 1983",Tulsa Top Team,"Denver Colorado, United States","Portland, Oregon"
Eddie Wineland,"5' 7""",135 lbs.,"69""",Orthodox,"Jun 26, 1984",Duneland Vale Tudo,"Houston, Texas, United States","Chesterton, Indiana"
Deron Winn,"5' 6""",185 lbs.,"70""",Orthodox,"Jun 13, 1989",American Kickboxing Academy,"Liberty, Missouri","Gilroy, California"
Andre Winner,"5' 11""",155 lbs.,"73""",Orthodox,"Nov 09, 1981",Team Rough House,"St. George's, Grenada","Leicester, England"
Jason Witt,"5' 10""",170 lbs.,"70""",Orthodox,"Nov 07, 1986",Glory MMA and Fitness,"Kansas City, Missouri, United States","Kansas City, Missouri"
Nathaniel Wood,"5' 6""",135 lbs.,"69""",Orthodox,"May 08, 1993",Great Britain Top Team,England,"London, England"
Tyron Woodley,"5' 9""",170 lbs.,"74""",Orthodox,"Apr 07, 1982",American Top Team,"Ferguson, Missouri, United States","St. Louis, Missouri"
Sean Woodson,"6' 2""",145 lbs.,"78""",Orthodox,"Jun 07, 1992",Wolves' Den Training Center,"Saint Louis, Missouri, United States","Saint Louis, Missouri"
Khama Worthy,"5' 11""",155 lbs.,"74""",Orthodox,"Oct 15, 1986",Pittsburgh Academy,United States,"Pittsburgh, Pennsylvania"
Jordan Wright,"6' 2""",205 lbs.,"77""",Orthodox,"Oct 07, 1991",Dynamix MMA,"Beverly Hills, California","Los Angeles, California"
Yanan Wu,"5' 8""",125 lbs.,"66""",Orthodox,"Apr 18, 1996",,"Chaoyang, Liaoning, China",China
Song Yadong,"5' 8""",145 lbs.,"67""",Orthodox,"Dec 02, 1997",Enbo Gedou,"Harbin, Heilongjiang Province,China","Harbin, Heilongjiang Province, China"
Rani Yahya,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 12, 1984",Constrictor Team,"Brasilia, Distrito Federal, Brazil","Brasilia, Distrito Federal, Brazil"
Alexander Yakovlev,"6' 3""",155 lbs.,"74""",Southpaw,"Jul 18, 1984",K-Dojo Warrior Tribe,Russia,"St. Petersburg, Russia"
Norifumi Yamamoto,"5' 4""",135 lbs.,"66""",Southpaw,"Mar 15, 1977",KRAZY BEE,Japan,Japan
Xiaonan Yan,"5' 5""",115 lbs.,"63""",Orthodox,"Jun 16, 1989",Extreme Sanda,"Liaoning, China","Shenyang, Liaoning, China"
Petr Yan,"5' 7""",135 lbs.,"67""",Switch,"Feb 11, 1993",Tiger Muay Thai,Russia,"Omsk, Russia"
Adam Yandiev,"5' 9""",185 lbs.,"74""",Orthodox,"Aug 07, 1988",Fight or Die,Russia,"Moscow, Russia"
Dongi Yang,"5' 10""",185 lbs.,"73""",Southpaw,"Dec 07, 1984",Team Macho,"Seoul, South Korea","Seoul, South Korea"
Hu Yaozong,"6' 3""",205 lbs.,"72""",Orthodox,"Apr 07, 1995",Tiger Muay Thai,China,"Beijing, China"
Ashley Yoder,"5' 7""",115 lbs.,"69""",Southpaw,"Oct 20, 1987",Team Quest,United States,"Murrieta, California"
Yoshiyuki Yoshida,"5' 11""",170 lbs.,"70""",Southpaw,"May 10, 1974",Right Thing Academy,"Kashiwa, Chiba, Japan","Crystal Lake, Illinois"
Jason Young,"5' 9""",145 lbs.,"73""",Orthodox,"Jun 28, 1986",Team Titan,"Lewisham, England, United Kingdom","South East London, England"
Shane Young,"5' 8""",145 lbs.,"72""",Orthodox,"Jul 31, 1993",City Kickboxing,"Napier, New Zealand","Auckland, New Zealand"
Shanna Young,"5' 7""",135 lbs.,"65""",Orthodox,"Feb 20, 1991",Knoxville Martial Arts Academy,"Franklin County, Virginia, United States","Knoxville, Tennessee"
Sodiq Yusuff,"5' 9""",145 lbs.,"71""",Orthodox,"May 19, 1993",Team Lloyd Irvin,"Lagos, Nigeria","New Carrollton, Maryland"
Gilbert Yvel,"6' 2""",225 lbs.,"77""",Orthodox,"Jun 30, 1976",Vos Gym,"Amsterdam, Netherlands","Amsterdam, Netherlands"
Luke Zachrich,"6' 2""",185 lbs.,"74""",Orthodox,"Dec 19, 1981",Ronin Training Center,United States,"Columbus, Ohio"
Aiemann Zahabi,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1987",Tristar Gym,"Laval, Quebec, Canada","Montreal, Quebec, Canada"
Youssef Zalal,"5' 10""",145 lbs.,"72""",Switch,"Sep 04, 1996",factoryX Muay Thai,"Casablanca, Morocco","Denver, Colorado"
Elizeu Zaleski dos Santos,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 11, 1986",CM System,"Francisco Beltrao, Parana, Brasil","Curitiba, Parana, Brazil"
David Zawada,"6' 0""",170 lbs.,"75""",Orthodox,"Aug 01, 1990",UFD GYM Dusseldorf,Germany,"Düsseldorf, Germany"
Tiequan Zhang,"5' 8""",155 lbs.,"69""",Orthodox,"Jul 25, 1978",Black Tiger Team,"Inner Mongolia, China","Beijing, China"
Lipeng Zhang,"5' 11""",155 lbs.,"71""",Southpaw,"Mar 10, 1990",Fighting Empire,"Inner Mongolia, China","Inner Mongolia, China"
Weili Zhang,"5' 4""",115 lbs.,"63""",Switch,"Aug 13, 1989",Black Tiger Fight Club,"Handan, China","Hebei, China"
Yao Zhikui,"5' 5""",125 lbs.,"64""",Orthodox,"Feb 07, 1991",China Top Team,"Henan, China",China
Zhalgas Zhumagulov,"5' 4""",125 lbs.,"66""",Switch,"Aug 29, 1988",Erkin Kush,Kazakhstan,"Aktobe, Kazakhstan"
Fares Ziam,"6' 1""",155 lbs.,"75""",Orthodox,"Mar 21, 1997",Bulgarian Top Team,France,France
Cat Zingano,"5' 6""",145 lbs.,"68""",Southpaw,"Jul 01, 1982",Zingano BJJ,"Broomfield, Colorado, United States","Broomfield, Colorado"
Allan Zuniga,"5' 7""",155 lbs.,"70""",Orthodox,"Apr 04, 1992",Mandarina MMA,Costa Rica," San Miguel, Costa Rica"
Papy Abedi,"5' 11""",185 lbs.,"74.0"" (188cm)",Southpaw,"Jun 30, 1978",Hilti NHB,"Kinshasa, Democratic Republic of Congo","Stockholm, Sweden"
Ricardo Abreu,"5' 11""",185 lbs.,"73.0"" (185cm)",Orthodox,"Apr 27, 1984",Wand Fight Team,"Ribeirao Preto, Sao Paulo, Brazil","Huntington Beach, California"
Razak Al-Hassan,"6' 2""",205 lbs.,"72.0"" (183cm)",Orthodox,"May 14, 1982",Roufusport MMA Academy,"Ames, Iowa, United States","Milwaukee, Wisconsin"
Ericka Almeida,"5' 6""",115 lbs.,"69.0"" (175cm)",Orthodox,"Mar 05, 1989",Chute Boxe Monstro,Brazil,"Sorocaba, Sao Paulo, Brazil"
Amilcar Alves,"6' 0""",170 lbs.,,Southpaw,"Aug 08, 1988",Nova Uniao,"Rio De Janerio, Brazil","Rio De Janerio, Brazil"
Reese Andy,"6' 0""",205 lbs.,,Orthodox,"Mar 31, 1973",,United States,"Seattle, Washington, USA"
Azunna Anyanwu,"6' 1""",251 lbs.,"71.0"" (180cm)",Orthodox,"Aug 05, 1981",Balance Studios,United States,"Philadelphia, Pennsylvania"
Cesar Arzamendia,"5' 11""",155 lbs.,"70.5"" (179cm)",Orthodox,"Jan 31, 1991",Paraguay Combat Team,"Luque, Paraguay","Asuncion, Paraguay"
Pat Audinwood,"6' 0""",155 lbs.,"74.0"" (188cm)",Orthodox,"Apr 16, 1986",Team Bombsquad,"Corning, New York, United States","Elmira, New York"
Chris Avila,"5' 10""",145 lbs.,"72.5"" (184cm)",Orthodox,"Jan 16, 1993",Cesar Gracie Jiu Jitsu,United States,"Stockton, California"
Niklas Backstrom,"6' 1""",145 lbs.,"73.0"" (185cm)",Orthodox,"Aug 22, 1989",Allstars Training Center,Sweden,Sweden
Izabela Badurek,"5' 5""",115 lbs.,"65.0"" (165cm)",Orthodox,"Jul 11, 1991",GKS Górnik Łęczna MMA,"Lublin, Poland","Warsaw, Poland"
Mehdi Baghdad,"6' 1""",155 lbs.,"75.0"" (191cm)",Orthodox,"Apr 13, 1985",Team Quest,France,California
Marcin Bandel,"5' 10""",155 lbs.,"70.0"" (178cm)",Orthodox,"Oct 10, 1989",Zenith Vera Fight Club,"Pabianice, Poland","Łódź, Poland"
David Baron,"5' 6""",155 lbs.,,Switch,"Feb 15, 1973",Haute Tension,France,"Bois-Colombes, Hauts-de-Seine, France"
Dan Barrera,"5' 9""",170 lbs.,,Orthodox,"Dec 23, 1980",,United States,"Radcliff, Kentucky"
Alexandre Barros,"5' 9""",170 lbs.,,Southpaw,"Nov 19, 1976",Baixinho Team,"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil"
Stephen Bass,"5' 9""",145 lbs.,"73.0"" (185cm)",Orthodox,"Nov 14, 1982",Mad House Gym,"Shreveport, Louisiana, United States","Savannah, Georgia"
Shayna Baszler,"5' 7""",135 lbs.,"67.5"" (171cm)",Orthodox,"Aug 08, 1980",UWF USA,United States,"Sioux Falls, South Dakota"
Michel Batista,"6' 3""",260 lbs.,"80.5"" (204cm)",Orthodox,"Apr 20, 1984",,"Camagüey, Cuba",Florida
Keith Berish,"6' 0""",205 lbs.,"73.5"" (187cm)",Orthodox,"Nov 14, 1985",Black & Blue MMA,United States,"Kingston, New York"
Allen Berube,"5' 8""",155 lbs.,"76.0"" (193cm)",Orthodox,"Aug 25, 1974",Gracie Tampa,USA,USA
Jason Black,"5' 8""",155 lbs.,,Orthodox,"Jul 15, 1972",Miletich Fighting Systems,USA,USA
Tom Blackledge,"6' 0""",205 lbs.,"77.0"" (196cm)",Orthodox,"Aug 19, 1980",Wolfslair MMA Academy,United Kingdom,United Kingdom
Byron Bloodworth,"5' 8""",135 lbs.,"72.0"" (183cm)",Orthodox,"Aug 16, 1983",Iron Clutch Fitness,"Lynchburg, Virginia, United States","Atlanta, Georgia"
Jesse Bongfeldt,"6' 0""",185 lbs.,"72.0"" (183cm)",Orthodox,"Aug 28, 1980",United Fighter MMA,"Kenora, Ontario, Canada","Kenora, Ontario"
Paul Bradley,"5' 9""",170 lbs.,"72.0"" (183cm)",Orthodox,"Jun 13, 1983",Alliance MMA,"Tama, Iowa, United States","San Diego, California"
Joe Brammer,"5' 8""",155 lbs.,,Orthodox,"Aug 23, 1983",Throwdown Elite Training Center,USA,USA
Todd Brown,"5' 11""",205 lbs.,"74.0"" (188cm)",Orthodox,"Dec 13, 1976",Bulldog Fight Team,"Mishawaka, Indiana, United States","Osceola, Indiana"
Humberto Brown Morrison,"5' 10""",145 lbs.,"71.0"" (180cm)",Orthodox,"Nov 03, 1984",Alleycat Panama,"Panama City, Panama","Panama City, Panama"
Junie Browning,"5' 9""",155 lbs.,"72.0"" (183cm)",Orthodox,"May 12, 1984",Legends MMA,"Los Angeles, USA","Los Angeles, USA"
Jules Bruchez,"6' 0""",205 lbs.,,Southpaw,"Aug 16, 1977",,United States,"Lafayette, Louisiana"
Steve Bruno,"5' 10""",170 lbs.,,Orthodox,"Nov 03, 1981",American Top Team,United States,"Coral Springs, Florida"
Fernando Bruno,"5' 6""",145 lbs.,"71.0"" (180cm)",Southpaw,"Feb 24, 1982",Nova União,Brazil,"Rio de Janeiro, Rio de Janeiro, Brazil"
Josh Bryant,"5' 10""",185 lbs.,,Orthodox,"Apr 23, 1980",Absolute Combat Alliance,"Broken Arrow, California, United States","Tulsa, Oklahoma"
Nah-Shon Burrell,"5' 11""",170 lbs.,"71.0"" (180cm)",Orthodox,"Feb 05, 1990",,United States,"Philadelphia, Pennsylvania"
Bubba Bush,"6' 0""",185 lbs.,"74.0"" (188cm)",Orthodox,"Jul 24, 1985",Brazos Valley MMA,"Mississippi, United States","College Station, Texas"
Wagner Campos,"5' 6""",145 lbs.,"66.0"" (168cm)",Southpaw,"Jul 31, 1981",Gile Ribeiro Team,"Curitiba, Brazil","Curitiba, Brazil"
Cain Carrizosa,"5' 8""",155 lbs.,"74.0"" (188cm)",Orthodox,"Jul 22, 1986",Classic Fight Team,United States,"Woodlake, California"
Luke Caudillo,"5' 7""",155 lbs.,,Orthodox,"Nov 30, 1980",Team Wiseman,"North Platte, Nebraska","Denver, Colorado"
Adam Cella,"6' 2""",170 lbs.,"73.5"" (187cm)",Orthodox,"Jun 26, 1985",Finney's HIT Squad,United States,"Fenton, Missouri"
Albert Cheng,"5' 11""",170 lbs.,"70.5"" (179cm)",Orthodox,"Feb 07, 1985",Evolução Thai MMA,"Toronto, Ontario, Canada","Mississauga, Ontario"
Sako Chivitchian,"5' 11""",155 lbs.,,Orthodox,"Mar 11, 1984",Hayastan MMA,Armenian SSR,"Glendale, California"
Will Chope,"6' 4""",145 lbs.,"76.0"" (193cm)",Switch,"Sep 08, 1990",,"Martinez, California, United States","Maha Sarakham, Thailand"
Anthony Christodoulou,"5' 9""",155 lbs.,"72.0"" (183cm)",Orthodox,"Jul 30, 1987",Renzo Gracie Brooklyn,"Glyfáda, Greece","New York, New York"
Mike Ciesnolevicz,"6' 0""",235 lbs.,"74.0"" (188cm)",Orthodox,"Oct 28, 1979",Miletich Fighting Systems,"Harrisburg, Pennsylvania, United States","Bettendorf, Iowa"
Josh Clopton,"5' 6""",145 lbs.,"68.0"" (173cm)",Orthodox,"Jul 11, 1981",El Niño Training Center,"Columbus, Mississippi, United States","Pacifica, California"
Brian Cobb,"5' 11""",155 lbs.,"72.0"" (183cm)",Orthodox,"Mar 9, 1980",Eric Nolan's Xtreme Training Center,United States,United States
John Cofer,"5' 9""",155 lbs.,"73.0"" (185cm)",Southpaw,"Apr 29, 1984",Team Alpha Male,"Savannah, Georgia, United States","Athens, Georgia"
Christian Colombo,"6' 5""",265 lbs.,"80.5"" (204cm)",Orthodox,"Jul 01, 1980",CSA.dk,Denmark,Denmark
Josh Copeland,"6' 1""",265 lbs.,"75.0"" (191cm)",Orthodox,"Oct 20, 1982",Elevation Fight Team,United States,"Denver, Colorado"
JC Cottrell,"5' 9""",155 lbs.,"71.0"" (180cm)",Orthodox,"Nov 04, 1989",,"Oklahoma City, Oklahoma","Oklahoma City, Oklahoma"
Jeff Cox,"5' 10""",155 lbs.,,Orthodox,"Aug 02, 1968",Strong Style Fight Team,USA,USA
Dan Cramer,"6' 2""",170 lbs.,"75.0"" (191cm)",Orthodox,"Oct 31, 1985",American Top Team,"Bethel, Connecticut, United States","Coconut Creek, Florida"
Alberto Crane,"5' 5""",155 lbs.,,Orthodox,"Jul 14, 1976",,United States,"Santa Fe, New Mexico, USA"
Marcio Cruz,"6' 4""",232 lbs.,"82.0"" (208cm)",Orthodox,"Apr 24, 1978",Kings MMA,"Rio de Janeiro, Brazil","Tampa, Florida"
Jay Cucciniello,"5' 7""",155 lbs.,"68.0"" (173cm)",Orthodox,"Jul 23, 1986",Team Barnatt gym,England,"Malaga, Spain"
Cindy Dandois,"5' 7""",135 lbs.,"70.0"" (178cm)",Orthodox,"Oct 26, 1984",Lynx MMA,"Borgerhout, Belgium","Deurne, Belgium"
Rodrigo de Lima,"5' 7""",155 lbs.,,Orthodox,"Mar 12, 1991",Frankiko Team,"Para, Brazil","Para, Brazil"
Edilberto de Oliveira,"6' 0""",170 lbs.,,Orthodox,"Nov 22, 1982",Champion Team,Brazil,"Campo Formoso, Bahia, Brazil"
Jorge de Oliveira,"5' 8""",155 lbs.,"71.0"" (180cm)",Orthodox,"Jan 22, 1980",Renovacao Fight Team,Brazil,Brazil
Tom DeBlass,"6' 0""",185 lbs.,"74.0"" (188cm)",Orthodox,"May 14, 1982",Ricardo Almeida Jiu Jitsu,"New Brunswick, New Jersey, United States","Forked River, New Jersey"
Shane del Rosario,"6' 4""",250 lbs.,,Southpaw,"Sep 23, 1983",Team Oyama,USA,USA
Nick Denis,"5' 7""",135 lbs.,"70.0"" (178cm)",Orthodox,"Oct 11, 1983",Ronin MMA,"Ottawa, Ontario, Canada","Montreal, Quebec"
Cameron Dollar,"5' 11""",155 lbs.,"71.5"" (182cm)",Orthodox,"May 12, 1987",Pariah MMA & Fitness,"Prescott Valley, Arizona, United States","Colorado Springs, Colorado"
Antonio Dos Santos,"5' 10""",185 lbs.,,Orthodox,"Jul 21, 1988",Champion Team,Brazil,"Salvador, Bahia, Brazil"
Derek Downey,"6' 1""",185 lbs.,,Orthodox,"Apr 27, 1980",Jeremy Horn's Elite Performance,United States,"Orem, Utah, United States"
Robert Drysdale,"6' 3""",205 lbs.,"78.5"" (199cm)",Orthodox,"Oct 05, 1981",Drysdale Jiu Jitsu,"Provo, Utah, United States","Las Vegas, Nevada"
Milana Dudieva,"5' 3""",135 lbs.,"61.5"" (156cm)",Orthodox,"Aug 04, 1989",Peresvet FT,Russia,Russia
Alexis Dufresne,"5' 9""",135 lbs.,"68.5"" (174cm)",Orthodox,"Aug 31, 1990",Top Rank Fitness,"Temecula, California, United States","Temecula, California"
Luiz Dutra,"5' 11""",170 lbs.,"71.5"" (182cm)",Orthodox,"May 06, 1982",Renovação Fight Team,"Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
Cody East,"6' 3""",245 lbs.,"77.0"" (196cm)",Orthodox,"Jun 29, 1988",,United States,"Los Lunas, New Mexico"
Abdul-Kerim Edilov,"6' 2""",205 lbs.,"78.0"" (198cm)",Orthodox,"Nov 25, 1991",Akhmat Fight Club,"Grozny, Russia","Moscow, Russia"
Tom Egan,"5' 11""",170 lbs.,,Orthodox,"Jan 1, 1989",Straight Blast Gym Ireland,Ireland,Ireland
Jon Olav Einemo,"6' 6""",253 lbs.,"81.0"" (206cm)",Orthodox,"Dec 10, 1975",Golden Glory ,"Oslo, Norway","Oslo, Norway"
Per Eklund,"5' 10""",155 lbs.,,Orthodox,"Nov 12, 1980",Hilti NHB,Sweden,Sweden
Lisa Ellis,"5' 4""",115 lbs.,"62.0"" (157cm)",Orthodox,"Nov 15, 1982",United Training Center,"Woodinville, Washington","Lacey, Washington"
Anna Elmose,"5' 3""",115 lbs.,"65.0"" (165cm)",Orthodox,"Oct 06, 1984",Rumble Sports,Denmark,"Copenhagen, Denmark"
Ian Entwistle,"5' 5""",135 lbs.,"64.0"" (163cm)",Orthodox,"Nov 19, 1986",Bulgarian Top Team,England,England
Konstantin Erokhin,"5' 11""",230 lbs.,"73.0"" (185cm)",Orthodox,"Jan 31, 1983",Krepost Fight Club,Russia,Russia
Doug Evans,"5' 9""",155 lbs.,,Orthodox,"Oct 10, 1980",AK Wolfpack,United States,"Anchorage, Alaska"
Dan Evensen,"6' 3""",250 lbs.,,Orthodox,"Jun 01, 1974",,Norway,Norway
Maiquel Falcao,"5' 11""",185 lbs.,"69.0"" (175cm)",Orthodox,"Mar 08, 1981",,"Rio Grande Du Sol, Brazil","Pararai, Brazil"
Brodie Farber,"6' 1""",170 lbs.,,Orthodox,"Jul 05, 1980",,USA,USA
Kalindra Faria,"5' 7""",125 lbs.,"62.0"" (157cm)",Switch,"Jul 23, 1986",Vale Top Team,"Taubate, Sao Paulo, Brazil","Taubate, Sao Paulo, Brazil"
Kelly Faszholz,"5' 8""",135 lbs.,"67.0"" (170cm)",Orthodox,"Apr 09, 1985",Nor-Cal Fighting Alliance,USA,USA
Josh Ferguson,"5' 5""",125 lbs.,"66.0"" (168cm)",Orthodox,"May 13, 1988",All American MMA,"Louisville, Kentucky, United States","Taylorsville , Kentucky"
Alexandre Ferreira,"5' 7""",205 lbs.,,Orthodox,"Apr 25, 1979",Chute Boxe Academy,Brazil,"Rio de Janiero, Brazil"
Colin Fletcher,"6' 2""",155 lbs.,"78.0"" (198cm)",Orthodox,"Jan 08, 1983",Sunderland Fight Pit,"Sunderland, England","Sunderland, Tyne and Wear"
Xavier Foupa-Pokam,"6' 1""",185 lbs.,,Open Stance,"Jul 03, 1982",Snake Team,France,"Paris, France"
Willamy Freire,"5' 8""",155 lbs.,"70.0"" (178cm)",,"Jul 28, 1987",Nova União,"Fortaleza, Ceara, Brazil","Fortaleza, Ceara, Brazil"
Sheila Gaff,"5' 5""",135 lbs.,"64.0"" (163cm)",Orthodox,"Dec 29, 1989",Energy Gym,Germany,"Eschwege, Germany"
Dave Galera,"5' 11""",135 lbs.,"72.0"" (183cm)",Orthodox,"Jan 12, 1978",Lakay Central Gym,"Santa Clara, California","Baguio, Philippines"
Tom Gallicchio,"5' 10""",170 lbs.,"75.0"" (191cm)",Southpaw,"Sep 23, 1986",Team Quest,United States,"Howell, New Jersey"
Joey Gambino,"5' 7""",145 lbs.,"70.0"" (178cm)",Orthodox,"Oct 26, 1988",LionSport MMA,"Port Charlotte, Florida, United States","Saugerties, New York"
Azamat Gashimov,"5' 6""",125 lbs.,"67.0"" (170cm)",Orthodox,"Apr 07, 1990",Jackson Wink MMA,"Dagestan, Russia","Albuquerque, New Mexico"
Paul Georgieff,"6' 2""",170 lbs.,,Orthodox,"Sep 22, 1982",,United States,"St. Paul, Minnesota, USA"
Brian Geraghty,"5' 7""",155 lbs.,,Orthodox,"Nov 04, 1980",Dave Strasser's Freestyle Academy of MMA,United States,"Kenosha, Wisconsin"
James Giboo,"5' 11""",170 lbs.,,Orthodox,"Jan 06, 1978",,,GB
Joseph Gigliotti,"5' 11""",185 lbs.,"69.0"" (175cm)",Orthodox,"Aug 13, 1993",,"Cleveland, Ohio","Gilbert, Arizona"
Jason Gilliam,"6' 0""",170 lbs.,,Orthodox,"Nov 31, 1972",Team Wolfpack,United States,"Muncie, Indiana"
Ulysses Gomez,"5' 6""",125 lbs.,"68.0"" (173cm)",Orthodox,"May 25, 1983",Cobra Kai Jiu Jitsu,"Los Angeles, California, United States","Las Vegas, Nevada"
Lewis Gonzalez,"5' 10""",170 lbs.,"67.0"" (170cm)",Orthodox,"Sep 19, 1987",MMA Gold Fight Team,United States,"Turlock, California"
Pearl Gonzalez,"5' 4""",115 lbs.,"68.0"" (173cm)",Orthodox,"Aug 12, 1986",10th Planet Jiu Jitsu San Diego,"Chicago, Illinois, United States","San Diego, California"
Tim Gorman,"5' 5""",135 lbs.,"68.5"" (174cm)",Southpaw,"Apr 29, 1983",Des Moines MMA Academy,"Winterset, Iowa","Des Moines, Iowa"
Chase Gormley,"6' 3""",265 lbs.,"77.0"" (196cm)",Orthodox,"Aug 11, 1983",Reign MMA,United States,"Los Angeles, California"
Renzo Gracie,"5' 10""",185 lbs.,,Orthodox,"Mar 11, 1967",Renzo Gracie Academy,"Rio de Janeiro, Brazil","New York City, New York"
Rolles Gracie,"6' 4""",242 lbs.,,Orthodox,"Jul 14, 1978",Renzo Gracie Academy,Brazil,"New York City, New York"
Neil Grove,"6' 6""",265 lbs.,"78.0"" (198cm)",Orthodox,"Jan 18, 1971",,"Klerksdorp, South Africa","London, England"
Nandor Guelmino,"6' 3""",230 lbs.,"76.5"" (194cm)",,"Dec 20, 1975",Gym 23,Austria,"Vienna, Austria"
Leonardo Guimaraes,"6' 0""",185 lbs.,"73.0"" (185cm)",Orthodox,"Apr 15, 1982",Gracie Barra Bahia,Brazil,"Salvador, Bahia, Brazil"
Andre Gusmao,"6' 0""",205 lbs.,,Orthodox,"May 19, 1977",Renzo Gracie Academy,"Goiânia, Brazil","New York, New York"
Horacio Gutierrez,"5' 10""",145 lbs.,"69.0"" (175cm)",,"Sep 15, 1990",Chicago Fight Team,"Guadalajara, Jalisco, Mexico","Chicago, Illinois"
John Halverson,"5' 9""",155 lbs.,,Southpaw,"Sep 08, 1972",,United States,"Waukee, Iowa"
James Hammortree,"6' 3""",185 lbs.,,Orthodox,"Nov 29, 1983",USA Martial Arts,"Chicago, Illinois","Ocala, Florida"
Collin Hart,"6' 1""",185 lbs.,"76.0"" (193cm)",Orthodox,"Oct 12, 1989",Nor-Cal Fighting Alliance,United States,"Santa Rosa, California"
Hayder Hassan,"5' 10""",170 lbs.,"71.5"" (182cm)",,"Oct 20, 1982",American Top Team,"Coconut Creek, Florida","Coconut Creek, Florida"
Tommy Hayden,"5' 9""",145 lbs.,"72.0"" (183cm)",Southpaw,"Mar 11, 1986",Bangkok Fight Lab,"Cincinnati, Ohio, United States","Cincinnati, Ohio"
Josh Haynes,"5' 9""",170 lbs.,,Orthodox,"Jul 30, 1977",Team Quest Portland,United States,"Medford, Oregon"
Chris Heatherly,"5' 9""",155 lbs.,"68.5"" (174cm)",Orthodox,"Nov 24, 1987",Fit or Fight Gym,"Cahokia, Illinois","Cahokia, Illinois"
Delson Heleno,"5' 11""",185 lbs.,"72.0"" (183cm)",Orthodox,"Nov 16, 1977",Pitbull,"Rio de Janeiro, Rio de Janeiro, Brazil","Teresopolis, Rio de Janeiro, Brazil"
Josh Hendricks,"6' 2""",235 lbs.,,Southpaw,"Aug 28, 1976",,"Mansfield, Ohio","Mansfield, Ohio"
Cory Hendricks,"6' 3""",205 lbs.,"77.0"" (196cm)",,"May 10, 1988",Syndicate MMA,United States,Washington State
Ramiro Hernandez,"5' 9""",135 lbs.,"69.5"" (177cm)",Orthodox,"Jul 22, 1986",Miletich Fighting Systems,"Muscatine, Iowa","Bettendorf, Iowa"
Richie Hightower,"5' 8""",170 lbs.,,Orthodox,"Nov 26, 1974",,United States,"Phoenix, Arizona, USA"
Kwan Ho Kwak,"5' 5""",135 lbs.,"70.0"" (178cm)",Switch,"Jun 18, 1989",Korean Top Team,"Namyangju, Gyeonggi, South Korea","Seoul, South Korea"
Sam Hoger,"6' 2""",205 lbs.,,Orthodox,"Jun 28, 1980",Hoger MMA,United States,"Eagle River, Alaska"
Chris Holdsworth,"5' 11""",135 lbs.,"71.0"" (180cm)",,"Oct 24, 1987",Team Alpha Male,United States,"Las Vegas, Nevada"
Roger Hollett,"5' 11""",205 lbs.,"73.0"" (185cm)",Orthodox,"Oct 08, 1978",Jackson Wink MMA,"Halifax, Nova Scotia, Canada","Albuquerque, New Mexico"
Rex Holman,"6' 3""",205 lbs.,,Southpaw,"Jan, 1, 1970",,United States,"Columbus, Ohio"
Mark Holst,"6' 0""",155 lbs.,,Orthodox,"Aug 14, 1985",Ottawa Academy of Martial Arts,"Ottawa, Ontario, Canada","Ottawa, Ontario"
Matt Horwich,"6' 1""",185 lbs.,"71.0"" (180cm)",Orthodox,"Oct 02, 1978",10th Planet Jiu Jitsu,"Pasadena, California, United States","Hollywood, California"
Brian Houston,"6' 2""",185 lbs.,"78.0"" (198cm)",Orthodox,"Apr 26, 1981",Disorderly Conduct,"Riverdale, Georgia","Omaha, Nebraska"
Shane Howell,"5' 8""",125 lbs.,"69.5"" (177cm)",Orthodox,"Nov 28, 1983",The Forge MMA,United States,"Oklahoma City, Oklahoma"
